Company name,Company domain name,Website URL,City,State/Region,Country/Region,Industry,Lifecycle Stage,Lead Status,Company Type,Investor Type,Target Round,Stage Fit,Check Size Public,Geography Fit,Thesis Fit,Relevance Score,Priority Tier,Primary Contact Target,Likely Objection,Best Angle,Contact Path,Next Step,Source URL,Research Notes,Outreach Draft
Ben Franklin Technology Partners of Central & Northern PA,cnp.benfranklin.org,https://cnp.benfranklin.org/,State College,PA,United States,Venture Capital and Private Equity,Lead,New,Investor Target,Regional economic-development investor / startup funding,Non-dilutive-like regional investment / early startup funding,Concept to early revenue,Not listed on source; BFTP funding process varies,Excellent — Central/Northern PA footprint,PA technology startup + small manufacturer support; strongest institutional door already open,97,Tier 1,Current BFTP contact / portfolio team,"May require matching funds, local footprint compliance, and clear commercialization plan.","Position Mimir as PA-built semantic infrastructure for regulated manufacturers, with Ratatosk as the near-term paid diagnostic wedge.",Continue existing BFTP thread; ask for investor and pilot-network introductions.,"Send concise update packet: investor one-pager, pilot offer, Substack proof points, and specific ask for 3-5 intros.",https://cnp.benfranklin.org/,Official site says it provides startup funding for tech entrepreneurs and small manufacturers in Central/Northern PA.,"Current BFTP contact / portfolio team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Position Mimir as PA-built semantic infrastructure for regulated manufacturers, with Ratatosk as the near-term paid diagnostic wedge. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Ben Franklin Technology Partners,benfranklin.org,https://benfranklin.org/,Statewide,PA,United States,Economic Development / Venture Capital,Lead,New,Investor Target,Statewide tech-based economic development network,Regional investment / partner introductions,Concept to growth,Varies by regional center,Excellent — Pennsylvania statewide,"Statewide network could route Mimir to PA manufacturers, regional centers, and capital partners.",94,Tier 1,Regional center leadership / investment manager,They may treat this as too early unless pilot demand is framed tightly.,Mimir is not asking BFTP to validate a full ERP replacement first; the wedge is short diagnostic revenue and manufacturer proof events.,Ask current BFTP contact for internal routing and co-investor introductions.,Request a specific warm intro plan across investor network and manufacturing portfolio.,https://benfranklin.org/,Official site states BFTP serves all 67 Pennsylvania counties through four regional centers.,"Regional center leadership / investment manager — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is not asking BFTP to validate a full ERP replacement first; the wedge is short diagnostic revenue and manufacturer proof events. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Robin Hood Ventures,robinhoodventures.com,https://www.robinhoodventures.com/,Philadelphia,PA,United States,Angel Investing,Lead,New,Investor Target,Angel group,Seed / angel syndicate,Early-stage high-growth startups,Generally $250K-$1M per source,Strong — Philadelphia / Mid-Atlantic,Regional angel group; useful if BFTP can introduce and Mimir frames the wedge as enterprise software + manufacturing/compliance diagnostics.,91,Tier 1,Investment screening team,May need customer traction and a clearer capital-return path than an ERP replacement narrative.,"Lead with paid Ratatosk diagnostics as the capital-efficient wedge, not full Yggdrasil ERP adoption.","Warm intro via BFTP, Philly tech network, or Robin Hood application/contact form.",Submit after one-page memo and pilot pipeline are tightened.,https://www.robinhoodventures.com/,Official site describes experienced entrepreneurs and accredited investors; investment range appears on official site.,"Investment screening team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Lead with paid Ratatosk diagnostics as the capital-efficient wedge, not full Yggdrasil ERP adoption. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
1855 Capital,1855capital.com,https://1855capital.com/,State College,PA,United States,Venture Capital,Lead,New,Investor Target,Seed and early-stage VC,Seed / early-stage,Penn State-affiliated startups,Typically $100K-$500K per source,Moderate unless Penn State affinity can be established,"Central PA proximity and seed-stage fit; strongest if an adviser, mentor, or network tie creates Penn State affinity.",80,Tier 2,Investment team,May require Penn State affinity; ownership expectations may be meaningful.,"If reachable through a Penn State-adjacent adviser, pitch Mimir as Central PA data-infrastructure company for regulated manufacturing.",Find Penn State alumni/operator intro; otherwise hold until stronger traction.,Research Penn State affinity path before direct outreach.,https://1855capital.com/for-entrepreneurs,Source says individual investment size typically ranges $100K-$500K and focuses on Penn State-affiliated startups.,"Investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. If reachable through a Penn State-adjacent adviser, pitch Mimir as Central PA data-infrastructure company for regulated manufacturing. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Innovation Works / AlphaLab,innovationworks.org,https://www.innovationworks.org/,Pittsburgh,PA,United States,Startup Accelerator / Early-stage Investment,Lead,New,Investor Target,Regional investor / accelerator,Accelerator / early-stage capital,Early-stage technology startups,Program-specific; AlphaLab cohorts recently reported $100K in funding,Strong if Mimir can engage southwestern PA / Pittsburgh network,Good for operator mentorship and industrial/AI startup network; not the best first investor unless program timing works.,83,Tier 2,AlphaLab Software / investor relations,May prefer Pittsburgh/SWPA companies or accelerator cadence.,Mimir’s deterministic data layer supports AI in industry by reducing ambiguity before automation acts.,Apply to virtual office hours or request intro from BFTP.,Monitor AlphaLab/Innovation Works application windows.,https://www.innovationworks.org/,Official site says Innovation Works is active in early-stage investing and startup resources.,"AlphaLab Software / investor relations — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir’s deterministic data layer supports AI in industry by reducing ambiguity before automation acts. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
BlueTree Allied Angels,bluetreealliedangels.com,https://www.bluetreealliedangels.com/,Pittsburgh,PA,United States,Angel Investing,Lead,New,Investor Target,Angel group,Angel / pre-institutional,Regional early-stage companies,Not listed on primary source,Moderate to strong — Western PA focus,Angel network useful for syndicate exposure; strongest if one member has enterprise/manufacturing software background.,77,Tier 3,Screening committee / member champion,May not understand ERP infrastructure without customer proof.,Ask for operator review first: does the diagnostic wedge resonate with their manufacturing/software operators?,BFTP/Innovation Works referral; otherwise website inquiry.,Use only after building a short demo video and one-page traction memo.,https://angelspartners.com/firm/bluetree-allied-angels,Directory source describes BlueTree as Western Pennsylvania angel network focused on early-stage pre-institutional ventures.,"Screening committee / member champion — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Ask for operator review first: does the diagnostic wedge resonate with their manufacturing/software operators? Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Keiretsu Forum Mid-Atlantic,keiretsuforum-midatlantic.com,https://www.keiretsuforum-midatlantic.com/,Philadelphia,PA,United States,Angel Investing,Lead,New,Investor Target,Angel network,Angel syndicate,Early-stage investment-ready companies,Not listed on primary source,Strong — Mid-Atlantic,Useful for broad angel exposure; potentially more work due to formal screening and presentation process.,79,Tier 3,Chapter entrepreneur application team,May expect polished investor package and existing traction.,Mimir is a category-level infrastructure play with a near-term paid diagnostic wedge to avoid waiting for full ERP adoption.,Apply via entrepreneur/presentation process or seek BFTP/RHV referral.,Do not submit until investor deck and demo are polished.,https://www.keiretsuforum-midatlantic.com/,Official site describes early-stage investment group.,"Chapter entrepreneur application team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is a category-level infrastructure play with a near-term paid diagnostic wedge to avoid waiting for full ERP adoption. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Dingman Center Angels,rhsmith.umd.edu,https://www.rhsmith.umd.edu/centers-initiatives/dingman-lamone-center/initiatives-programs/dingman-center-angels,College Park,MD,United States,Angel Investing,Lead,New,Investor Target,Angel group,Seed / angel,Early-stage Mid-Atlantic companies,Typically $100K-$250K per secondary regional source,Strong — Mid-Atlantic,Good fit for Mid-Atlantic enterprise/software story if package is disciplined.,82,Tier 2,DCA screening team,May ask for proof of buyer demand and angel-scale return path.,Mimir reduces AI/ERP implementation risk by creating canonical data artifacts before migration/integration.,Warm intro through UMD/Mid-Atlantic tech network; then application.,Add after BFTP/RHV because Maryland network may be less natural.,https://www.rhsmith.umd.edu/centers-initiatives/dingman-lamone-center/initiatives-programs/dingman-center-angels,Official site says DCA funds early-stage companies primarily in the Mid-Atlantic.,"DCA screening team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir reduces AI/ERP implementation risk by creating canonical data artifacts before migration/integration. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Washington DC ArchAngels,dcarchangels.com,https://www.dcarchangels.com/,Washington,DC,United States,Angel Investing,Lead,New,Investor Target,Angel network,Angel / early-stage,Investment-ready early-stage enterprises,Not listed on official source,Strong — MD/DC/VA plus national network,Useful if CMMC/federal supply-chain framing is foregrounded.,78,Tier 3,Entrepreneur screening contact,May need defense/federal procurement proof if using CMMC angle.,Frame Mimir as compliance-adjacent data-control infrastructure for regulated manufacturers and defense suppliers.,Use DC/MD angel network or federal supply-chain contact path.,Prepare CMMC/data-control one-pager before outreach.,https://www.dcarchangels.com/,Official site says it connects investment-ready companies with an active early-stage investment community.,"Entrepreneur screening contact — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Frame Mimir as compliance-adjacent data-control infrastructure for regulated manufacturers and defense suppliers. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Rittenhouse Ventures,rittenhouseventures.com,https://rittenhouseventures.com/,Philadelphia,PA,United States,Venture Capital,Lead,New,Investor Target,Emerging-growth B2B software VC,Seed / early growth,Capital-efficient B2B software; likely post-traction,Not listed on primary source,Strong — Philadelphia / Mid-Atlantic,Good regional B2B software investor; likely better once Ratatosk has paid pilots or repeatable revenue.,84,Tier 2,Investment partner focused on B2B software / AI,May see Mimir as too early or too services-led before repeatable SaaS revenue.,Mimir starts with a paid diagnostic wedge that creates proprietary governance manifests and leads into software pull-through.,Warm intro via Philly/BFTP/Robin Hood network.,Nurture now; pitch after pilot evidence or signed LOIs.,https://rittenhouseventures.com/rittenhouse-ventures-announces-the-successful-close-of-fund-iii/,"Source says Fund III focuses on capital-efficient B2B software, AI and tech-enabled services, especially Mid-Atlantic/underserved regions.","Investment partner focused on B2B software / AI — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir starts with a paid diagnostic wedge that creates proprietary governance manifests and leads into software pull-through. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
