receipt_id,po_number,part_number,supplier_name,matched_supplier_id,qty_received,receipt_date,lot_id,inspector,cert_received
RCV-0091,PO-8842,BOLT440ZN,Acme Industrial,,24000,2026-07-30,LOT-77Z,g.tran,TRUE
RCV-0088,PO-8830,BOLT-440-ZN,ACME Fastener Co.,SUP-2001,4000,2026-07-18,LOT-71Z,g.tran,TRUE
RCV-0093,PO-8851,440-ZINC-BOLT,Acme Fasteners LLC,,8000,2026-08-02,LOT-79Z,g.tran,FALSE
RCV-0079,PO-8801,WASHER-440-SS,Delta Fastening,SUP-2008,50000,2026-07-05,LOT-55W,d.park,TRUE
RCV-0082,PO-8815,BRKT-AL-221,Ironwood Castings,SUP-2005,1500,2026-07-11,LOT-22B,d.park,TRUE
RCV-0085,PO-8822,SEAL-NBR-06,Precision Seals,SUP-2003,30000,2026-07-14,LOT-33S,d.park,TRUE
RCV-0096,PO-8860,SHAFT-TI-905,Titan Metals,SUP-2002,300,2026-08-05,LOT-90T,g.tran,TRUE
RCV-0099,PO-8871,GEAR-17T-CS,Blue Ridge Gear Works,SUP-2006,1600,2026-08-08,LOT-17G,d.park,TRUE
RCV-0101,PO-8880,ZN BOLT 440,ACME,,3000,2026-08-10,LOT-77Z,g.tran,FALSE
RCV-0104,PO-8888,BOLT-440-ZN,Summit Hardware,SUP-2007,5000,2026-08-12,LOT-81Z,g.tran,TRUE
